# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
05/09/2026 00:00:00,Base Station,2190064,56.716568,11.519052,Unknown value,,,,,Unknown,Unknown,,Undefined,,,,GPS,,Unknown,,AIS,,,,
05/09/2026 00:00:00,Base Station,2194006,55.538917,5.033400,Unknown value,,,,,Unknown,Unknown,,Undefined,,,,Surveyed,,Unknown,,AIS,,,,
05/09/2026 00:00:00,Base Station,2194006,55.538870,5.033200,Unknown value,,,,,Unknown,Unknown,,Undefined,,,,Surveyed,,Unknown,,AIS,,,,
05/09/2026 00:00:00,Base Station,2194005,56.344250,4.272000,Unknown value,,,,,Unknown,Unknown,,Undefined,,,,Surveyed,,Unknown,,AIS,,,,
05/09/2026 00:00:00,Class B,218030430,91.000000,0.000000,Unknown value,,,,,Unknown,DH3438,,Sailing,,7,13,Undefined,,Unknown,,AIS,4,9,4,3
05/09/2026 00:00:00,Class A,636017555,91.000000,0.000000,Unknown value,,,,,9363314,D5LN4,POCHARD S,Cargo,,28,177,GPS,6.6,RU LED,08/09/2026 15:00:00,AIS,155,22,20,8
05/09/2026 00:00:00,Class A,276462000,54.887250,12.573750,Under way using engine,-1.1,8.1,210.8,215,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:00:00,Class B,219008783,57.592782,9.961030,Unknown value,,0.0,196.5,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:00:00,Class B,265069150,57.691777,11.900717,Unknown value,,0.1,,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:00:00,Class B,218061220,91.000000,0.000000,Unknown value,,,,,Unknown,Unknown,MOANA,Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:00:00,Class A,211180710,54.821595,9.653603,Moored,11.4,,,350,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:00:00,Base Station,2579999,91.000000,0.000000,Unknown value,,,,,Unknown,Unknown,,Undefined,,,,GPS,,Unknown,,AIS,,,,
05/09/2026 00:00:00,Class A,265012140,57.426992,10.565692,Under way using engine,0.0,6.6,131.4,134,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:00:00,Class A,256656000,57.357662,8.635590,Under way using engine,0.0,9.1,217.1,221,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:00:00,Class A,256656000,57.357662,8.635590,Under way using engine,0.0,9.1,217.1,221,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:00:00,Class A,265610040,55.841722,12.746965,Under way using engine,0.0,9.6,2.0,3,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:00:00,Class A,256656000,57.357662,8.635590,Under way using engine,0.0,9.1,217.1,221,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:00:00,Class A,265610040,55.841722,12.746965,Under way using engine,0.0,9.6,2.0,3,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:00:00,Class A,228432600,54.650367,10.871483,Under way using engine,0.7,12.4,299.0,299,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:00:00,AtoN,992651095,57.883493,12.032848,Unknown value,,,,,Unknown,Unknown,MISSING,Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:00:00,Class A,228432600,54.650367,10.871483,Under way using engine,0.7,12.4,299.0,299,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:00:00,AtoN,992651095,57.883493,12.032848,Unknown value,,,,,Unknown,Unknown,MISSING,Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:00:00,AtoN,992651095,57.883493,12.032848,Unknown value,,,,,Unknown,Unknown,MISSING,Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:00:01,Class A,231894000,91.000000,0.000000,Unknown value,,,,,9409273,OZ2217,FURE SPEAR,Tanker,,23,144,GPS,8.4,SE GOT,04/09/2026 05:00:00,AIS,113,31,8,15
05/09/2026 00:00:02,Class A,255739000,91.000000,0.000000,Unknown value,,,,,9881304,CQKI,AUTO ACHIEVE,Cargo,,28,169,GPS,7.4,SEMMA,05/09/2026 10:00:00,AIS,34,135,17,11
05/09/2026 00:00:02,Class A,255739000,91.000000,0.000000,Unknown value,,,,,9881304,CQKI,AUTO ACHIEVE,Cargo,,28,169,GPS,7.4,SEMMA,05/09/2026 10:00:00,AIS,34,135,17,11
05/09/2026 00:00:02,Class A,258933000,57.293510,8.041805,Under way using engine,0.0,9.9,239.3,242,9734848,LAXS7,YARA NAUMA,Tanker,Category OS,26,160,GPS,6.9,SESTE>DEBRB,05/09/2026 18:00:00,AIS,126,34,25,1
05/09/2026 00:00:03,Class A,219022047,55.462078,8.443650,Under way using engine,0.0,0.1,325.2,226,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:00:03,Class A,220043000,57.593377,9.962218,Engaged in fishing,,,,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:00:03,Class A,220043000,57.593377,9.962218,Engaged in fishing,,,,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:00:03,Class A,255805567,91.000000,0.000000,Unknown value,,,,,1045265,CQSY,NORTHERN PURPOSE,Tanker,No additional information,22,130,Combined GPS/GLONASS,6.5,DKSKA,01/08/2027 23:00:00,AIS,103,27,11,11
05/09/2026 00:00:06,Class A,255739000,57.826935,11.279975,Under way using engine,6.4,15.9,154.9,156,9881304,CQKI,AUTO ACHIEVE,Cargo,,28,169,GPS,7.4,SEMMA,05/09/2026 10:00:00,AIS,34,135,17,11
05/09/2026 00:00:07,Class A,273393370,91.000000,0.000000,Unknown value,,,,,9804227,UBPZ,LINDA,Tanker,,17,141,GPS,4.2,TR GEB,25/09/2026 01:00:00,AIS,123,18,9,8
05/09/2026 00:00:07,Class A,244678000,55.674220,11.017937,At anchor,10.0,0.1,225.1,303,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:00:07,Class A,273393370,56.143127,12.504473,Under way using engine,3.6,3.5,314.4,312,9804227,UBPZ,LINDA,Tanker,,17,141,GPS,4.2,TR GEB,25/09/2026 01:00:00,AIS,123,18,9,8
05/09/2026 00:00:08,Class A,255916087,55.556675,9.762647,Moored,0.0,0.0,155.4,300,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:00:08,Class A,255916087,55.556675,9.762647,Moored,0.0,0.0,155.4,300,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:00:09,Class A,241779000,57.972083,9.600592,Under way using engine,-0.0,13.7,69.3,68,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:00:09,Class A,219032675,56.958805,8.364810,Unknown value,0.0,,,310,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:00:09,Class A,241779000,57.972105,9.600705,Under way using engine,-0.0,13.7,69.3,68,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:00:09,Class A,241779000,57.972105,9.600705,Under way using engine,-0.0,13.7,69.3,68,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:00:25,Class A,563259900,58.197953,11.224787,At anchor,4.5,0.3,189.3,235,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:00:48,Class A,563259900,58.197953,11.224787,At anchor,4.5,0.3,189.3,235,9833656,9VDO6,NAVIG8 GRACE,Tanker,,32,183,GPS,7.6,SEBRO,04/09/2026 13:00:00,AIS,147,36,9,23
05/09/2026 00:01:24,AtoN,992651019,56.653920,12.853812,Unknown value,,,,,Unknown,Unknown,"DEEP 8,1",Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:01:24,AtoN,992651019,56.653920,12.853812,Unknown value,,,,,Unknown,Unknown,"DEEP 8,1",Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:01:24,AtoN,992651019,56.653920,12.853812,Unknown value,,,,,Unknown,Unknown,"DEEP 8,1",Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:01:24,AtoN,992651019,56.653920,12.853812,Unknown value,,,,,Unknown,Unknown,"DEEP 8,1",Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:01:33,AtoN,992651098,56.888013,12.473127,Unknown value,,,,,Unknown,Unknown,"SHALLOW POINT - 6,4M",Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:01:33,AtoN,992651098,56.888013,12.473127,Unknown value,,,,,Unknown,Unknown,"SHALLOW POINT - 6,4M",Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:02:03,Class A,244678000,55.674220,11.017937,At anchor,10.0,0.1,225.1,303,9393345,PBLW,THUN GARLAND,Tanker,,15,116,GPS,5.0,DK KAL PEC 321,04/09/2026 15:00:00,AIS,105,11,14,1
05/09/2026 00:02:51,Class A,219022047,55.462077,8.443652,Under way using engine,0.0,0.1,359.4,225,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:03:07,Class A,244678000,55.674738,11.018148,At anchor,-14.5,0.5,17.2,283,9393345,PBLW,THUN GARLAND,Tanker,,15,116,GPS,5.0,DK KAL PEC 321,04/09/2026 15:00:00,AIS,105,11,14,1
05/09/2026 00:03:08,Class A,255916087,55.556685,9.762617,Moored,0.0,0.0,155.4,300,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:03:08,Class A,255916087,55.556685,9.762617,Moored,0.0,0.0,155.4,300,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
05/09/2026 00:05:08,Class A,219022047,55.462077,8.443643,Under way using engine,0.0,0.1,254.3,225,8661020,OUBJ2,FONIKS SUPPORTER,Tanker,No additional information,9,25,GPS,2.0,ESBJERG,24/03/2027 14:00:00,AIS,17,8,5,4
05/09/2026 00:05:12,Class A,255916087,55.556685,9.762617,Moored,0.0,0.0,155.4,300,1025411,CQ2516,CAPTAIN M.KYRIAKOU,Tanker,No additional information,23,150,GPS,6.2,DKFRC,04/09/2026 09:00:00,AIS,123,27,2,21
05/09/2026 00:06:08,Class A,255916087,55.556665,9.762645,Moored,0.0,0.0,155.4,300,1025411,CQ2516,CAPTAIN M.KYRIAKOU,Tanker,No additional information,23,150,GPS,6.2,DKFRC,04/09/2026 09:00:00,AIS,123,27,2,21
05/09/2026 00:06:08,Class A,255916087,55.556665,9.762645,Moored,0.0,0.0,155.4,300,1025411,CQ2516,CAPTAIN M.KYRIAKOU,Tanker,No additional information,23,150,GPS,6.2,DKFRC,04/09/2026 09:00:00,AIS,123,27,2,21
05/09/2026 00:06:09,Class A,244678000,55.674808,11.018022,At anchor,0.4,0.5,203.6,251,9393345,PBLW,THUN GARLAND,Tanker,,15,116,GPS,5.0,DK KAL PEC 321,04/09/2026 15:00:00,AIS,105,11,14,1
05/09/2026 00:06:09,Class A,244678000,55.674808,11.018022,At anchor,0.4,0.5,203.6,251,9393345,PBLW,THUN GARLAND,Tanker,,15,116,GPS,5.0,DK KAL PEC 321,04/09/2026 15:00:00,AIS,105,11,14,1
05/09/2026 00:07:31,Class A,219022047,55.462078,8.443650,Under way using engine,0.0,0.1,62.5,228,8661020,OUBJ2,FONIKS SUPPORTER,Tanker,No additional information,9,25,GPS,2.0,ESBJERG,24/03/2027 14:00:00,AIS,17,8,5,4
05/09/2026 00:09:08,Class A,255916087,55.556657,9.762657,Moored,0.0,0.0,155.4,300,1025411,CQ2516,CAPTAIN M.KYRIAKOU,Tanker,No additional information,23,150,GPS,6.2,DKFRC,04/09/2026 09:00:00,AIS,123,27,2,21
05/09/2026 00:10:02,Class A,219022047,55.462078,8.443653,Under way using engine,0.0,0.0,4.0,227,8661020,OUBJ2,FONIKS SUPPORTER,Tanker,No additional information,9,25,GPS,2.0,ESBJERG,24/03/2027 14:00:00,AIS,17,8,5,4
05/09/2026 00:11:12,Class A,255916087,55.556657,9.762657,Moored,0.0,0.0,155.4,300,1025411,CQ2516,CAPTAIN M.KYRIAKOU,Tanker,No additional information,23,150,GPS,6.2,DKFRC,04/09/2026 09:00:00,AIS,123,27,2,21
05/09/2026 00:12:08,Class A,255916087,55.556643,9.762652,Moored,0.0,0.0,155.4,300,1025411,CQ2516,CAPTAIN M.KYRIAKOU,Tanker,No additional information,23,150,GPS,6.2,DKFRC,04/09/2026 09:00:00,AIS,123,27,2,21
05/09/2026 00:12:08,Class A,255916087,55.556643,9.762652,Moored,0.0,0.0,155.4,300,1025411,CQ2516,CAPTAIN M.KYRIAKOU,Tanker,No additional information,23,150,GPS,6.2,DKFRC,04/09/2026 09:00:00,AIS,123,27,2,21
05/09/2026 00:12:09,Class A,244678000,55.674450,11.018010,At anchor,-11.4,0.7,18.3,301,9393345,PBLW,THUN GARLAND,Tanker,,15,116,GPS,5.0,DK KAL PEC 321,04/09/2026 15:00:00,AIS,105,11,14,1
05/09/2026 00:12:09,Class A,244678000,55.674450,11.018010,At anchor,-11.4,0.7,18.3,301,9393345,PBLW,THUN GARLAND,Tanker,,15,116,GPS,5.0,DK KAL PEC 321,04/09/2026 15:00:00,AIS,105,11,14,1
05/09/2026 00:12:41,Class A,219022047,55.462078,8.443655,Under way using engine,0.0,0.1,200.3,228,8661020,OUBJ2,FONIKS SUPPORTER,Tanker,No additional information,9,25,GPS,2.0,ESBJERG,24/03/2027 14:00:00,AIS,17,8,5,4
05/09/2026 00:14:03,Class A,244678000,55.674450,11.018010,At anchor,-11.4,0.7,18.3,301,9393345,PBLW,THUN GARLAND,Tanker,,15,116,GPS,5.0,DK KAL PEC 321,04/09/2026 15:00:00,AIS,105,11,14,1
05/09/2026 00:14:53,Class A,219022047,55.462080,8.443657,Under way using engine,0.0,0.2,346.4,230,8661020,OUBJ2,FONIKS SUPPORTER,Tanker,No additional information,9,25,GPS,2.0,ESBJERG,24/03/2027 14:00:00,AIS,17,8,5,4
05/09/2026 00:15:07,Class A,244678000,55.674917,11.018167,At anchor,-14.5,0.2,331.8,258,9393345,PBLW,THUN GARLAND,Tanker,,15,116,GPS,5.0,DK KAL PEC 321,04/09/2026 15:00:00,AIS,105,11,14,1
05/09/2026 00:15:07,Class A,244678000,55.674917,11.018167,At anchor,-14.5,0.2,331.8,258,9393345,PBLW,THUN GARLAND,Tanker,,15,116,GPS,5.0,DK KAL PEC 321,04/09/2026 15:00:00,AIS,105,11,14,1
05/09/2026 00:15:07,Class A,244678000,55.674917,11.018167,At anchor,-14.5,0.2,331.8,258,9393345,PBLW,THUN GARLAND,Tanker,,15,116,GPS,5.0,DK KAL PEC 321,04/09/2026 15:00:00,AIS,105,11,14,1
05/09/2026 00:15:08,Class A,255916087,55.556680,9.762673,Moored,0.0,0.0,155.4,300,1025411,CQ2516,CAPTAIN M.KYRIAKOU,Tanker,No additional information,23,150,GPS,6.2,DKFRC,04/09/2026 09:00:00,AIS,123,27,2,21
05/09/2026 00:15:08,Class A,255916087,55.556680,9.762673,Moored,0.0,0.0,155.4,300,1025411,CQ2516,CAPTAIN M.KYRIAKOU,Tanker,No additional information,23,150,GPS,6.2,DKFRC,04/09/2026 09:00:00,AIS,123,27,2,21
05/09/2026 00:15:23,Class A,563259900,58.198812,11.223812,At anchor,-6.4,0.3,355.3,204,9833656,9VDO6,NAVIG8 GRACE,Tanker,,32,183,GPS,7.6,SEBRO,04/09/2026 13:00:00,AIS,147,36,9,23
05/09/2026 00:17:03,Class A,219022047,55.462080,8.443660,Under way using engine,0.0,0.1,147.8,226,8661020,OUBJ2,FONIKS SUPPORTER,Tanker,No additional information,9,25,GPS,2.0,ESBJERG,24/03/2027 14:00:00,AIS,17,8,5,4
05/09/2026 00:17:12,Class A,255916087,55.556680,9.762673,Moored,0.0,0.0,155.4,300,1025411,CQ2516,CAPTAIN M.KYRIAKOU,Tanker,No additional information,23,150,GPS,6.2,DKFRC,04/09/2026 09:00:00,AIS,123,27,2,21
05/09/2026 00:17:12,Class A,255916087,55.556680,9.762673,Moored,0.0,0.0,155.4,300,1025411,CQ2516,CAPTAIN M.KYRIAKOU,Tanker,No additional information,23,150,GPS,6.2,DKFRC,04/09/2026 09:00:00,AIS,123,27,2,21
05/09/2026 00:18:08,Class A,255916087,55.556668,9.762652,Moored,0.0,0.0,155.4,300,1025411,CQ2516,CAPTAIN M.KYRIAKOU,Tanker,No additional information,23,150,GPS,6.2,DKFRC,04/09/2026 09:00:00,AIS,123,27,2,21
05/09/2026 00:18:10,Class A,244678000,55.674370,11.017858,At anchor,16.1,0.7,186.6,270,9393345,PBLW,THUN GARLAND,Tanker,,15,116,GPS,5.0,DK KAL PEC 321,04/09/2026 15:00:00,AIS,105,11,14,1
05/09/2026 00:18:10,Class A,244678000,55.674370,11.017858,At anchor,16.1,0.7,186.6,270,9393345,PBLW,THUN GARLAND,Tanker,,15,116,GPS,5.0,DK KAL PEC 321,04/09/2026 15:00:00,AIS,105,11,14,1
05/09/2026 00:18:11,Class A,244678000,55.674370,11.017858,At anchor,16.1,0.7,186.6,270,9393345,PBLW,THUN GARLAND,Tanker,,15,116,GPS,5.0,DK KAL PEC 321,04/09/2026 15:00:00,AIS,105,11,14,1
05/09/2026 00:18:26,Class A,563259900,58.198977,11.223853,At anchor,2.9,0.0,0.9,194,9833656,9VDO6,NAVIG8 GRACE,Tanker,,32,183,GPS,7.6,SEBRO,04/09/2026 13:00:00,AIS,147,36,9,23
05/09/2026 00:18:49,Class A,563259900,58.198977,11.223853,At anchor,2.9,0.0,0.9,194,9833656,9VDO6,NAVIG8 GRACE,Tanker,,32,183,GPS,7.6,SEBRO,04/09/2026 13:00:00,AIS,147,36,9,23
05/09/2026 00:19:03,Class A,219022047,55.462082,8.443662,Under way using engine,0.0,0.1,26.3,227,8661020,OUBJ2,FONIKS SUPPORTER,Tanker,No additional information,9,25,GPS,2.0,ESBJERG,24/03/2027 14:00:00,AIS,17,8,5,4
05/09/2026 00:21:07,Class A,244678000,55.674043,11.017782,At anchor,7.5,0.3,291.6,313,9393345,PBLW,THUN GARLAND,Tanker,,15,116,GPS,5.0,DK KAL PEC 321,04/09/2026 15:00:00,AIS,105,11,14,1
05/09/2026 00:21:07,Class A,244678000,55.674043,11.017782,At anchor,7.5,0.3,291.6,313,9393345,PBLW,THUN GARLAND,Tanker,,15,116,GPS,5.0,DK KAL PEC 321,04/09/2026 15:00:00,AIS,105,11,14,1
05/09/2026 00:21:08,Class A,255916087,55.556667,9.762638,Moored,0.0,0.0,155.4,300,1025411,CQ2516,CAPTAIN M.KYRIAKOU,Tanker,No additional information,23,150,GPS,6.2,DKFRC,04/09/2026 09:00:00,AIS,123,27,2,21
05/09/2026 00:21:08,Class A,255916087,55.556667,9.762638,Moored,0.0,0.0,155.4,300,1025411,CQ2516,CAPTAIN M.KYRIAKOU,Tanker,No additional information,23,150,GPS,6.2,DKFRC,04/09/2026 09:00:00,AIS,123,27,2,21
05/09/2026 00:22:11,Class A,219022047,55.462080,8.443662,Under way using engine,0.0,0.2,232.3,228,8661020,OUBJ2,FONIKS SUPPORTER,Tanker,No additional information,9,25,GPS,2.0,ESBJERG,24/03/2027 14:00:00,AIS,17,8,5,4
05/09/2026 00:24:08,Class A,255916087,55.556688,9.762637,Moored,0.0,0.0,155.4,300,1025411,CQ2516,CAPTAIN M.KYRIAKOU,Tanker,No additional information,23,150,GPS,6.2,DKFRC,04/09/2026 09:00:00,AIS,123,27,2,21
05/09/2026 00:24:08,Class A,255916087,55.556688,9.762637,Moored,0.0,0.0,155.4,300,1025411,CQ2516,CAPTAIN M.KYRIAKOU,Tanker,No additional information,23,150,GPS,6.2,DKFRC,04/09/2026 09:00:00,AIS,123,27,2,21
05/09/2026 00:24:32,Class A,219022047,55.462082,8.443662,Under way using engine,0.0,0.1,232.7,226,8661020,OUBJ2,FONIKS SUPPORTER,Tanker,No additional information,9,25,GPS,2.0,ESBJERG,24/03/2027 14:00:00,AIS,17,8,5,4
05/09/2026 00:26:03,Class A,244678000,55.674043,11.017782,At anchor,7.5,0.3,291.6,313,9393345,PBLW,THUN GARLAND,Tanker,,15,116,GPS,5.0,DK KAL PEC 321,04/09/2026 15:00:00,AIS,105,11,14,1
05/09/2026 00:26:41,Class A,219022047,55.462082,8.443662,Under way using engine,0.0,0.0,27.0,229,8661020,OUBJ2,FONIKS SUPPORTER,Tanker,No additional information,9,25,GPS,2.0,ESBJERG,24/03/2027 14:00:00,AIS,17,8,5,4
05/09/2026 00:27:07,Class A,244678000,55.674723,11.018058,At anchor,-2.9,0.5,207.3,256,9393345,PBLW,THUN GARLAND,Tanker,,15,116,GPS,5.0,DK KAL PEC 321,04/09/2026 15:00:00,AIS,105,11,14,1
05/09/2026 00:27:07,Class A,244678000,55.674723,11.018058,At anchor,-2.9,0.5,207.3,256,9393345,PBLW,THUN GARLAND,Tanker,,15,116,GPS,5.0,DK KAL PEC 321,04/09/2026 15:00:00,AIS,105,11,14,1
05/09/2026 00:27:08,Class A,255916087,55.556678,9.762645,Moored,0.0,0.0,155.4,300,1025411,CQ2516,CAPTAIN M.KYRIAKOU,Tanker,No additional information,23,150,GPS,6.2,DKFRC,04/09/2026 09:00:00,AIS,123,27,2,21
05/09/2026 00:27:22,Class A,563259900,58.198817,11.223115,At anchor,-1.6,0.1,274.0,184,9833656,9VDO6,NAVIG8 GRACE,Tanker,,32,183,GPS,7.6,SEBRO,04/09/2026 13:00:00,AIS,147,36,9,23
05/09/2026 00:29:02,Class A,219022047,55.462085,8.443663,Under way using engine,0.0,0.1,169.1,226,8661020,OUBJ2,FONIKS SUPPORTER,Tanker,No additional information,9,25,GPS,2.0,ESBJERG,24/03/2027 14:00:00,AIS,17,8,5,4
05/09/2026 00:29:12,Class A,255916087,55.556678,9.762645,Moored,0.0,0.0,155.4,300,1025411,CQ2516,CAPTAIN M.KYRIAKOU,Tanker,No additional information,23,150,GPS,6.2,DKFRC,04/09/2026 09:00:00,AIS,123,27,2,21
05/09/2026 00:29:12,Class A,255916087,55.556678,9.762645,Moored,0.0,0.0,155.4,300,1025411,CQ2516,CAPTAIN M.KYRIAKOU,Tanker,No additional information,23,150,GPS,6.2,DKFRC,04/09/2026 09:00:00,AIS,123,27,2,21
05/09/2026 00:30:08,Class A,255916087,55.556653,9.762658,Moored,0.0,0.0,155.4,300,1025411,CQ2516,CAPTAIN M.KYRIAKOU,Tanker,No additional information,23,150,GPS,6.2,DKFRC,04/09/2026 09:00:00,AIS,123,27,2,21
05/09/2026 00:30:08,Class A,255916087,55.556653,9.762658,Moored,0.0,0.0,155.4,300,1025411,CQ2516,CAPTAIN M.KYRIAKOU,Tanker,No additional information,23,150,GPS,6.2,DKFRC,04/09/2026 09:00:00,AIS,123,27,2,21
05/09/2026 00:30:12,Class A,244678000,55.674182,11.017920,At anchor,17.9,0.4,181.0,290,9393345,PBLW,THUN GARLAND,Tanker,,15,116,GPS,5.0,DK KAL PEC 321,04/09/2026 15:00:00,AIS,105,11,14,1
05/09/2026 00:30:12,Class A,244678000,55.674182,11.017920,At anchor,17.9,0.4,181.0,290,9393345,PBLW,THUN GARLAND,Tanker,,15,116,GPS,5.0,DK KAL PEC 321,04/09/2026 15:00:00,AIS,105,11,14,1
05/09/2026 00:30:28,Class A,563259900,58.198927,11.223022,At anchor,-1.1,0.1,346.2,179,9833656,9VDO6,NAVIG8 GRACE,Tanker,,32,183,GPS,7.6,SEBRO,04/09/2026 13:00:00,AIS,147,36,9,23
05/09/2026 00:30:49,Class A,563259900,58.198927,11.223022,At anchor,-1.1,0.1,346.2,179,9833656,9VDO6,NAVIG8 GRACE,Tanker,,32,183,GPS,7.6,SEBRO,04/09/2026 13:00:00,AIS,147,36,9,23
05/09/2026 00:31:03,Class A,219022047,55.462083,8.443665,Under way using engine,0.0,0.1,73.3,226,8661020,OUBJ2,FONIKS SUPPORTER,Tanker,No additional information,9,25,GPS,2.0,ESBJERG,24/03/2027 14:00:00,AIS,17,8,5,4
05/09/2026 00:32:03,Class A,244678000,55.674182,11.017920,At anchor,17.9,0.4,181.0,290,9393345,PBLW,THUN GARLAND,Tanker,,15,116,GPS,5.0,DK KAL PEC 321,04/09/2026 15:00:00,AIS,105,11,14,1
05/09/2026 00:33:07,Class A,244678000,55.674345,11.017950,At anchor,-10.0,0.8,21.5,305,9393345,PBLW,THUN GARLAND,Tanker,,15,116,GPS,5.0,DK KAL PEC 321,04/09/2026 15:00:00,AIS,105,11,14,1
05/09/2026 00:33:07,Class A,244678000,55.674345,11.017950,At anchor,-10.0,0.8,21.5,305,9393345,PBLW,THUN GARLAND,Tanker,,15,116,GPS,5.0,DK KAL PEC 321,04/09/2026 15:00:00,AIS,105,11,14,1
05/09/2026 00:33:08,Class A,255916087,55.556658,9.762637,Moored,0.0,0.0,155.4,300,1025411,CQ2516,CAPTAIN M.KYRIAKOU,Tanker,No additional information,23,150,GPS,6.2,DKFRC,04/09/2026 09:00:00,AIS,123,27,2,21
05/09/2026 00:33:08,Class A,255916087,55.556658,9.762637,Moored,0.0,0.0,155.4,300,1025411,CQ2516,CAPTAIN M.KYRIAKOU,Tanker,No additional information,23,150,GPS,6.2,DKFRC,04/09/2026 09:00:00,AIS,123,27,2,21
